tsp_file,algorithm,cost,elapsed_time
tsp1_253,cheapest_insertion,258,0.000066
tsp2_1248,cheapest_insertion,1272,0.0000118
tsp3_1194,cheapest_insertion,1367,0.0001384
tsp4_7013,cheapest_insertion,7527,0.0020358
tsp5_27603,cheapest_insertion,30094,0.0006016
tsp1_253,cheapest_insertion,258,0.0020618
tsp2_1248,cheapest_insertion,1272,0.0006949
tsp3_1194,cheapest_insertion,1367,0.0010209
tsp4_7013,cheapest_insertion,7527,0.0037347
tsp5_27603,cheapest_insertion,30094,0.0012204
tsp1_253,cheapest_insertion,258,0.0003355
tsp2_1248,cheapest_insertion,1272,0.0002231
tsp3_1194,cheapest_insertion,1367,0.0003958
tsp4_7013,cheapest_insertion,7527,0.0032583
tsp5_27603,cheapest_insertion,30094,0.0008972
tsp1_253,cheapest_insertion,258,0.0003364
tsp2_1248,cheapest_insertion,1272,0.0002786
tsp3_1194,cheapest_insertion,1367,0.0004722
tsp4_7013,cheapest_insertion,7527,0.0030948
tsp5_27603,cheapest_insertion,30094,0.0008787
tsp1_253,cheapest_insertion,258,0.0002905
tsp2_1248,cheapest_insertion,1272,0.0002048
tsp3_1194,cheapest_insertion,1367,0.000351
tsp4_7013,cheapest_insertion,7527,0.0025595
tsp5_27603,cheapest_insertion,30094,0.0008537
tsp1_253,cheapest_insertion,258,0.0003016
tsp2_1248,cheapest_insertion,1272,0.0002056
tsp3_1194,cheapest_insertion,1367,0.0003616
tsp4_7013,cheapest_insertion,12721,0.0027657
tsp5_27603,cheapest_insertion,30094,0.0031427
tsp1_253,cheapest_insertion,258,0.0003115
tsp2_1248,cheapest_insertion,1272,0.0002144
tsp3_1194,cheapest_insertion,1367,0.0003878
tsp4_7013,cheapest_insertion,12721,0.0026006
tsp5_27603,cheapest_insertion,30094,0.0010444
tsp1_253,cheapest_insertion,258,0.0002993
tsp2_1248,cheapest_insertion,1272,0.0001993
tsp3_1194,cheapest_insertion,1367,0.0004487
tsp4_7013,cheapest_insertion,12721,0.0027123
tsp5_27603,cheapest_insertion,30094,0.0010386
tsp1_253,cheapest_insertion,258,0.0003565
tsp2_1248,cheapest_insertion,1272,0.0003827
tsp3_1194,cheapest_insertion,1367,0.0003755
tsp4_7013,cheapest_insertion,7527,0.0024276
tsp5_27603,cheapest_insertion,30094,0.0008331
tsp1_253,cheapest_insertion,258,0.0003403
tsp2_1248,cheapest_insertion,1272,0.0001771
tsp3_1194,cheapest_insertion,1367,0.0003092
tsp4_7013,cheapest_insertion,7527,0.0028727
tsp5_27603,cheapest_insertion,30094,0.0009393
tsp1_253,cheapest_insertion,258,0.0003355
tsp2_1248,cheapest_insertion,1272,0.0002325
tsp3_1194,cheapest_insertion,1367,0.0010424
tsp4_7013,cheapest_insertion,12721,0.0031816
tsp5_27603,cheapest_insertion,30094,0.0009871
tsp1_253,cheapest_insertion,258,0.0002882
tsp2_1248,cheapest_insertion,1272,0.0002173
tsp3_1194,cheapest_insertion,1367,0.0003568
tsp4_7013,cheapest_insertion,7527,0.0025727
tsp5_27603,cheapest_insertion,30094,0.0010836
tsp1_253,cheapest_insertion,258,0.0003256
tsp2_1248,cheapest_insertion,1272,0.0005502
tsp3_1194,cheapest_insertion,1367,0.0013178
tsp4_7013,cheapest_insertion,7527,0.002542
tsp5_27603,cheapest_insertion,30094,0.0008808
tsp1_253,cheapest_insertion,258,0.000706
tsp2_1248,cheapest_insertion,1272,0.0008896
tsp3_1194,cheapest_insertion,1367,0.0005311
tsp4_7013,cheapest_insertion,7527,0.000892
tsp5_27603,cheapest_insertion,30094,0.0006323
tsp1_253,cheapest_insertion,258,0.0002566
tsp2_1248,cheapest_insertion,1272,0.0002231
tsp3_1194,cheapest_insertion,1367,0.0002964
tsp4_7013,cheapest_insertion,7527,0.0006785
tsp5_27603,cheapest_insertion,30094,0.0002978
tsp1_253,cheapest_insertion,258,0.0003108
tsp2_1248,cheapest_insertion,1272,0.000685
tsp3_1194,cheapest_insertion,1367,0.0007112
tsp4_7013,cheapest_insertion,12720,0.0009575
tsp5_27603,cheapest_insertion,30094,0.0004657
tsp1_253,cheapest_insertion,258,0.0002797
tsp2_1248,cheapest_insertion,1272,0.0001636
tsp3_1194,cheapest_insertion,1367,0.0005225
tsp4_7013,cheapest_insertion,12720,0.0015728
tsp5_27603,cheapest_insertion,30094,0.0005506
tsp4_7013,cheapest_insertion,12720,0.0112036
tsp4_7013,cheapest_insertion,12720,0.0115174
tsp4_7013,cheapest_insertion,12720,0.0211581
tsp4_7013,cheapest_insertion,12720,0.0107279
tsp4_7013,cheapest_insertion,12720,0.9402889
tsp4_7013,cheapest_insertion,12720,0.9222499
tsp4_7013,cheapest_insertion,12720,0.0110201
tsp4_7013,cheapest_insertion,12720,0.1155354
tsp4_7013,cheapest_insertion,7527,0.0057841
tsp4_7013,cheapest_insertion,12721,0.0135308
