tsp_file,algorithm,cost,elapsed_time
1,approximation_tsp,1248,0.0006829
0,approximation_tsp,395,0.0009517
2,approximation_tsp,2657,0.000683
3,approximation_tsp,33773,0.0021209
0,christofides,260,0.0018938
tsp1_253,approximation_tsp,378,0.0006701
tsp1_253,approximation_tsp,370,0.0037329
tsp1_253,approximation_tsp,402,0.0004878
tsp1_253,approximation_tsp,377,0.0005978
tsp1_253,approximation_tsp,370,0.0005898
tsp1_253,approximation_tsp,339,0.0007636
tsp1_253,approximation_tsp,374,0.0010003
tsp2_1248,approximation_tsp,1693,0.0006474
tsp2_1248,approximation_tsp,1427,0.0005283
tsp2_1248,approximation_tsp,1875,0.0005667
tsp2_1248,approximation_tsp,1579,0.000733
tsp2_1248,approximation_tsp,2181,0.0005282
tsp2_1248,approximation_tsp,1925,0.0007827
tsp2_1248,approximation_tsp,1522,0.0010576
tsp2_1248,approximation_tsp,2006,0.0006235
tsp2_1248,approximation_tsp,1925,0.0008822
tsp3_1194,approximation_tsp,3274,0.0007725
tsp3_1194,approximation_tsp,2947,0.0007402
tsp3_1194,approximation_tsp,2658,0.0006128
tsp3_1194,approximation_tsp,2661,0.0009534
tsp3_1194,approximation_tsp,2337,0.0008252
tsp3_1194,approximation_tsp,2941,0.0019492
tsp3_1194,approximation_tsp,0,0.0006936
tsp1_253,approximation_tsp,0,0.0008915
tsp1_253,approximation_tsp,0,0.0026069
tsp1_253,approximation_tsp,0,0.0021477
tsp1_253,approximation_tsp,0,0.0014063
tsp1_253,approximation_tsp,0,0.000749
tsp1_253,approximation_tsp,0,0.0015775
tsp1_253,approximation_tsp,397,0.0018152
tsp1_253,approximation_tsp,398,0.0018292
tsp1_253,approximation_tsp,354,0.0012364
tsp1_253,approximation_tsp,365,0.0013026
tsp1_253,approximation_tsp,332,0.0173609
tsp1_253,approximation_tsp,353,0.001839
tsp2_1248,approximation_tsp,1978,0.0430221
tsp2_1248,approximation_tsp,1978,0.002145
tsp2_1248,approximation_tsp,1847,0.0054119
tsp2_1248,approximation_tsp,2030,0.0030338
tsp2_1248,approximation_tsp,1998,0.0168238
tsp2_1248,approximation_tsp,1995,0.0069508
tsp2_1248,approximation_tsp,2003,0.0044604
tsp2_1248,approximation_tsp,1510,0.0044226
tsp3_1194,approximation_tsp,3147,0.0065731
tsp3_1194,approximation_tsp,3216,0.0082341
tsp3_1194,approximation_tsp,2824,0.0182943
tsp3_1194,approximation_tsp,3049,0.0157943
tsp3_1194,approximation_tsp,3108,0.0052215
tsp4_7013,approximation_tsp,35060,0.1049276
tsp5_27603,approximation_tsp,109016,0.0102916
tsp5_27603,approximation_tsp,119428,0.0077096
tsp5_27603,approximation_tsp,96549,0.0189668
tsp5_27603,approximation_tsp,108691,0.0168542
tsp5_27603,christofides,30568,27.1504942
tsp1_253,christofides,260,0.0115304
tsp1_253,christofides,260,0.0119828
tsp1_253,christofides,260,0.028075
tsp2_1248,christofides,1272,0.0103789
tsp3_1194,christofides,1424,0.015847
tsp3_1194,christofides,1424,0.0165728
tsp3_1194,christofides,1424,0.0152126
tsp3_1194,christofides,1424,0.034134
tsp3_1194,christofides,1424,0.0192668
tsp3_1194,christofides,1424,0.0147987
tsp3_1194,christofides,1424,0.0148008
tsp2_1248,christofides,1272,0.0063864
tsp1_253,christofides,260,0.0123356
tsp5_27603,christofides,30568,307.2708541
tsp5_27603,christofides,30568,32.4516446
tsp4_7013,christofides,2289,0.2550736
tsp3_1194,christofides,1424,0.018136
tsp4_7013,christofides,2289,0.1342837
tsp4_7013,christofides,2289,0.1033613
tsp4_7013,approximation_tsp,35800,0.0145666
tsp4_7013,approximation_tsp,34016,0.0146566
tsp4_7013,approximation_tsp,30062,0.0307194
tsp4_7013,approximation_tsp,36043,0.0239765
tsp4_7013,approximation_tsp,32672,0.0636423
tsp4_7013,christofides,2289,0.2363146
tsp4_7013,approximation_tsp,30469,0.0156559
tsp4_7013,christofides,2289,0.1019665
tsp4_7013,cheapest_insertion,7505,0.0006259
tsp4_7013,cheapest_insertion,7505,0.0008935
tsp1_253,christofides,260,0.0122228
tsp4_7013,approximation_tsp,34586,0.0906112
tsp1_253,bruteforce,253,6.6357013
tsp2_1248,bruteforce,1248,0.0004076
tsp1_253,bruteforce,253,6.7162085000000005
tsp1_253,bruteforce,253,6.7573825
tsp1_253,bruteforce,253,6.7848494
tsp2_1248,bruteforce,1248,0.0003585
tsp2_1248,bruteforce,1248,0.0004179
tsp1_253,bruteforce,253,6.7309561
tsp1_253,bruteforce,253,6.0646751
tsp2_1248,bruteforce,1248,0.0000981
tsp2_1248,bruteforce,1248,0.0002011
tsp2_1248,bruteforce,1248,0.0000989
tsp2_1248,bruteforce,1248,0.0001668
tsp2_1248,bruteforce,1248,0.0000991
