tsp_file,algorithm,cost,elapsed_time
tsp1_253,bruteforce,253,13.795520400000001
tsp1_253,parallel_bruteforce,253,13.6550898
tsp2_1248,bruteforce,1248,0.0001916
tsp2_1248,parallel_bruteforce,1248,0.0002451
tsp1_253,bruteforce,253,12.7943465
tsp1_253,parallel_bruteforce,253,12.2963946
tsp2_1248,bruteforce,1248,0.0001805
tsp2_1248,parallel_bruteforce,1248,0.0002405
tsp1_253,bruteforce,253,13.8387341
tsp1_253,parallel_bruteforce,253,14.126866
tsp2_1248,bruteforce,1248,0.0002855
tsp2_1248,parallel_bruteforce,1248,0.0009545
tsp1_253,bruteforce,253,13.0704061
tsp1_253,parallel_bruteforce,253,13.7254669
tsp2_1248,bruteforce,1248,0.0001616
tsp2_1248,parallel_bruteforce,1248,0.0002618
tsp1_253,bruteforce,253,12.3310316
tsp1_253,parallel_bruteforce,253,13.3548466
tsp2_1248,bruteforce,1248,0.0001648
tsp2_1248,parallel_bruteforce,1248,0.0002977
tsp1_253,bruteforce,253,13.0592597
tsp1_253,parallel_bruteforce,253,12.4219645
tsp2_1248,bruteforce,1248,0.0001693
tsp2_1248,parallel_bruteforce,1248,0.00023
tsp1_253,bruteforce,253,12.820351
tsp1_253,parallel_bruteforce,253,13.1586809
tsp2_1248,bruteforce,1248,0.0001681
tsp2_1248,parallel_bruteforce,1248,0.0007063
tsp1_253,bruteforce,253,13.0797874
tsp1_253,parallel_bruteforce,253,13.304651
tsp2_1248,bruteforce,1248,0.0002002
tsp2_1248,parallel_bruteforce,1248,0.0002533
tsp1_253,bruteforce,253,14.1187172
tsp1_253,parallel_bruteforce,253,15.1687047
tsp2_1248,bruteforce,1248,0.0001675
tsp2_1248,parallel_bruteforce,1248,0.0002603
tsp1_253,bruteforce,253,16.0445687
tsp1_253,parallel_bruteforce,253,15.9317699
tsp2_1248,bruteforce,1248,0.0001753
tsp2_1248,parallel_bruteforce,1248,0.0002843
tsp1_253,bruteforce,253,16.5951872
tsp1_253,parallel_bruteforce,253,14.8723765
tsp2_1248,bruteforce,1248,0.000199
tsp2_1248,parallel_bruteforce,1248,0.0002666
tsp1_253,bruteforce,253,15.1239105
tsp1_253,parallel_bruteforce,253,14.4697053
tsp2_1248,bruteforce,1248,0.0001697
tsp2_1248,parallel_bruteforce,1248,0.0007049
tsp1_253,bruteforce,253,15.835257
tsp1_253,parallel_bruteforce,253,14.9558065
tsp2_1248,bruteforce,1248,0.0001621
tsp2_1248,parallel_bruteforce,1248,0.0002357
tsp1_253,bruteforce,253,14.2504996
tsp1_253,parallel_bruteforce,253,13.8387326
tsp2_1248,bruteforce,1248,0.000169
tsp2_1248,parallel_bruteforce,1248,0.0002561
tsp1_253,bruteforce,253,12.8172696
tsp1_253,parallel_bruteforce,253,13.7395561
tsp2_1248,bruteforce,1248,0.0002081
tsp2_1248,parallel_bruteforce,1248,0.0002774
